Perun Behemoth Triumviratus,IPA,6.4
Verhaeghe Echt Kriekenbier,Sour / Wild Ale,6.8
Alaskan Smoked Porter,Smoked,6.5
Łańcut Flanders Roselare ,Sour Red / Brown,6.7
Harpagan Wombatopata,Pale Ale - American,5
Funky Fluid Gonna Be Late,IPA,6.4
Deer Bear KAME HAME Orange Mango Milkshake IPA,IPA,5
Weird Beard Holy Hoppin Hell (Galaxy Motueka),IPA - Imperial / Double,9.5
Hoppy Lab Świdnickie Jasne ,Pale Ale - American,3.3
Maryensztadt #2 Projekt 30,Barley Wine / Wheat Wine,15.3
Blackberry Farm Barrel Series - Brett Saison 2017,Saison,7.5
Rockmill Get Low,Grodziskie/Gose/Lichtenhainer,4.7
Deer Bear Coffee Break,Stout,6.5
Pracownia Piwa Wawelowe Porzeczkowe,Fruit Beer,2.5
Deer Bear Sofa King,IPA,5.9
Widawa Fruit Bomb! IPA,IPA,6.2
Łańcut Zawisza Czarny,Stout - Imperial,9.5
PiwoWarownia / Ghost Twelve Monks,IPA,6.2
Incognito Black IPA,IPA - Black / Dark,6
St. Bernardus Abt 12,Abbey Quadrupel / Abt,10
Langier Beer Session IPA,IPA - Session,5
Artezan Panie, Co Pan?,IPA,6
PINTA Fest Oktober,Oktoberfest / Märzen,5
Wrężel Tropical Black IIPA,IPA - Black / Dark,8.5
Weird Beard Decadence,Stout,5.5
WRCLW Rye RIS Porto & Bourbon Double BA,Stout - Imperial,10.2
Minister Paradajz,Pale Ale - American,5
Wrężel Grejpfrut IPA,IPA,6.3
Artezan Coffee Kamaz Bourbon BA,Stout,7
Carlow O'Hara's Leann Folláin,Stout - Dry,6
Zakładowy Kontenerowiec,Pale Ale - American,4
Kasteel Rouge,Fruit Beer,8
Zakładowy 400% normy ,IPA - Imperial / Double,8.1
Jolly Pumpkin Oro de Calabaza,Belgian Strong Ale,8
BrewDog Nanny State (0.5%),Low Alcohol,0.5
De Ranke Guldenberg,Belgian Strong Ale,8
